,date,symbol,open,close,low,high,volume,eps,pe,yield1,yield3,yield6,yield12,ma50,ma200,ma300,hi91,hi182,hi365,lo91,lo182,lo365
482387,2014-01-17,ATVI,17.35,16.959999,16.76,17.469998999999998,15311900.0,1.14,14.877192105263159,-6.556479338842962,-2.584727168294094,10.201423001949308,48.77192105263157,17.55676467647059,16.95157141428571,16.192596144230773,21.5,23.219998999999998,24.18,16.549999,16.549999,16.549999
482837,2014-01-21,ABBV,50.259997999999996,50.0,49.91,50.919998,5823000.0,1.11,45.04504504504504,-4.8525195975741156,1.173618015929506,10.963157768238844,35.538089876337494,51.51470582352941,47.21137678985506,45.99623184541062,54.73,58.27,70.760002,45.5,45.5,45.5
482839,2014-01-21,ABT,39.52,39.119999,38.860001000000004,39.57,8229600.0,1.5,26.079999333333333,1.954652122873398,4.935622449989879,6.477944666415624,18.545451515151527,38.162647029411765,36.301449173913035,36.38193228985508,40.490002000000004,43.23,46.5,35.650002,35.650002,35.650002
482877,2014-01-21,ATVI,17.02,16.790001,16.690001000000002,17.09,6330900.0,1.14,14.72807105263158,-5.780016835016838,-2.9479654883216995,-8.100706075533665,47.2807105263158,17.544411794117647,17.00760868840579,16.21275361835749,21.5,23.219998999999998,24.18,16.549999,16.549999,16.549999
483327,2014-01-22,ABBV,49.98,49.080002,48.619999,50.0,8181700.0,1.11,44.21621801801801,-7.413688263108398,-0.6879725086188699,8.921440103829553,33.04419444413648,51.53500002941176,47.25746375362318,46.03937194202898,54.73,58.27,70.760002,45.5,45.5,45.5
483329,2014-01-22,ABT,38.02,38.07,36.939999,38.869999,12970000.0,1.5,25.38,-0.8851861494402442,2.119101451692657,3.6200270212287933,15.36363636363636,38.16058823529412,36.324275275362304,36.39864726086957,40.490002000000004,43.27,46.5,35.650002,35.650002,35.650002
483367,2014-01-22,ATVI,16.85,16.74,16.65,16.889999,7998700.0,1.14,14.68421052631579,-5.955050896351182,-3.2369886264155383,-8.37438423645321,46.84210526315789,17.527058852941177,17.022681152173906,16.223671492753628,21.5,23.299999,24.18,16.549999,16.549999,16.549999
483817,2014-01-23,ABBV,48.740002000000004,48.869999,48.389998999999996,49.060001,7270500.0,1.11,44.027026126126124,-7.809845606860804,-1.847764574256587,9.328854377430545,32.47492633437048,51.50264702941177,47.26906472661869,46.078454067632855,54.73,58.27,70.760002,45.5,45.5,45.5
483819,2014-01-23,ABT,37.900002,37.43,37.220001,37.93,10207300.0,1.5,24.953333333333333,-2.5514189013277786,0.4023632082179205,1.4913204584782846,13.424242424242422,38.15558829411765,36.33223012949639,36.40884049758454,40.490002000000004,43.27,46.5,35.650002,35.650002,35.650002
483857,2014-01-23,ATVI,16.629998999999998,16.67,16.549999,16.75,7209700.0,1.14,14.622807017543863,-6.348309345410627,0.48221820373719027,-8.305830583058295,46.2280701754386,17.513823529411763,17.020143877697834,16.23381642028986,21.5,23.299999,24.18,16.549999,16.549999,16.549999
484307,2014-01-24,ABBV,48.419998,47.790001000000004,47.77,49.099998,9197900.0,1.11,43.05405495495496,-9.847193353978241,-2.069668075198109,5.079157871591917,28.08898343369114,51.447353,47.272785699999986,46.08668265865385,54.73,58.27,70.760002,45.5,45.5,45.5
484309,2014-01-24,ABT,37.200001,36.580002,36.57,37.200001,9167400.0,1.5,24.386668,-4.76437906795104,-0.9745452348279713,-0.1364974027710133,9.750974512392773,38.13264714705883,36.333999928571416,36.40966338942308,40.490002000000004,43.27,46.5,35.650002,35.650002,35.650002
484347,2014-01-24,ATVI,16.639999,16.67,16.549999,16.84,7897200.0,1.14,14.622807017543863,-6.348309345410627,0.36122213358085276,-7.2858731924360285,45.971978984238206,17.49676470588235,17.017642849999994,16.235913456730774,21.5,23.379998999999998,24.18,16.549999,16.549999,16.549999
484797,2014-01-27,ABBV,47.790001000000004,46.830002,46.419998,47.830002,10749800.0,1.11,42.18919099099099,-9.907652943439786,-3.9581543871269105,4.741675346492414,25.954819795589017,51.361515393939385,47.34862318840578,46.11413459615383,54.73,58.27,70.760002,45.5,45.5,45.5
484799,2014-01-27,ABT,36.68,36.299999,36.130001,36.830002,9128900.0,1.5,24.199999333333334,-5.04839393146743,-1.8388345051379105,-0.41152810942310225,7.174490911558635,38.13212136363637,36.36355061594201,36.41442299519231,40.490002000000004,43.27,46.5,35.650002,35.650002,35.650002
484837,2014-01-27,ATVI,16.700001,16.67,16.620001000000002,16.889999,7575900.0,1.14,14.622807017543863,-7.747648035417811,-1.0095011876484392,-5.978567399887197,43.090128755364816,17.502424181818178,17.06442028260869,16.246634610576926,21.5,23.43,24.18,16.620001000000002,16.620001000000002,16.620001000000002
485287,2014-01-28,ABBV,47.080002,47.689999,47.080002,48.470001,12298600.0,1.11,42.96396306306306,-8.814531717295054,-2.194419696243628,6.665175725009533,27.923820491518796,51.253529617647054,47.37695652173911,46.14769228846153,54.73,58.27,70.760002,45.5,45.5,45.5
485289,2014-01-28,ABT,36.540001000000004,36.369999,36.279999,36.869999,7608200.0,1.5,24.246666,-5.874741352865968,-1.6495429962141657,-0.21948421894418857,8.56716119402985,38.080294235294126,36.370796992753604,36.41562491826923,40.490002000000004,43.27,46.5,35.650002,35.650002,35.650002
485327,2014-01-28,ATVI,16.67,16.690001000000002,16.65,16.84,7202500.0,1.14,14.640351754385968,-8.747949220997839,-0.8907304038004611,-5.865758601240827,43.87931896551726,17.47852938235294,17.074420289855063,16.2560576923077,21.5,23.43,24.18,16.639999,16.639999,16.639999
485777,2014-01-29,ABBV,47.150002,47.610001000000004,46.98,47.84,7608500.0,1.11,42.891892792792795,-5.516963792755774,-2.3584845101921275,6.4862493063352815,27.709233575891474,51.1476473235294,47.39550726086954,46.18153844711538,54.73,58.27,70.760002,45.5,45.5,45.5
485779,2014-01-29,ABT,36.259997999999996,35.849998,35.650002,36.5,10404300.0,1.5,23.899998666666665,-8.429128560453208,-3.0557111952406615,-1.6460987202716382,7.014919402985072,38.04058826470588,36.374637557971,36.41336529326923,40.490002000000004,43.27,46.5,35.650002,35.650002,35.650002
485817,2014-01-29,ATVI,16.780001000000002,16.91,16.68,17.049999,8286200.0,1.14,14.833333333333334,-6.471238938053091,0.4156769596199439,-4.624929498025949,45.77586206896552,17.46705882352941,17.088188405797087,16.267500000000002,21.5,23.43,24.18,16.639999,16.639999,16.639999
486267,2014-01-30,ABBV,47.970001,48.310001,47.900002,48.880001,7669500.0,1.11,43.52252342342342,-4.127799248418313,0.29064356614671283,7.642602325253961,29.586916029691963,51.03500032352941,47.40208635251796,46.21379807692308,54.73,58.27,70.760002,45.5,45.5,45.5
486269,2014-01-30,ABT,36.240002000000004,36.529999,36.139998999999996,36.619999,9579800.0,1.5,24.353332666666663,-6.6922167717897025,-2.221632702847103,1.1911385701461654,9.044773134328338,38.02352938235294,36.375755266187035,36.41278835576923,40.490002000000004,43.27,46.5,35.799999,35.799999,35.799999
486307,2014-01-30,ATVI,17.040001,17.26,16.93,17.360001,5021500.0,1.14,15.140350877192985,-4.535398230088489,4.416206629388569,-1.088830883161549,48.79310344827587,17.46529411764706,17.089424460431644,16.280673076923083,21.5,23.43,24.18,16.639999,16.639999,16.639999
486757,2014-01-31,ABBV,49.939999,49.23,49.07,50.549999,12863500.0,1.11,44.35135135135135,-2.3020421175241523,2.455777366405343,10.455463316131926,32.33870611992725,50.933823911764705,47.4151428785714,46.2518749951923,54.73,58.27,70.760002,45.5,45.5,45.5
486759,2014-01-31,ABT,36.029999,36.66,35.970001,36.889998999999996,10845500.0,1.5,24.439999999999998,-6.360158040349546,-2.3961687327963688,2.0317283607013508,8.3333333333333,38.02588226470589,36.37778558571427,36.41447104326923,40.490002000000004,43.27,46.5,35.799999,35.799999,35.799999
486797,2014-01-31,ATVI,16.98,17.129998999999998,16.92,17.360001,8471500.0,1.14,15.026314912280702,-5.254430309734516,3.6297517465364564,-2.170194174757299,44.55695358649788,17.4688235,17.089714278571417,16.293653841346156,21.5,23.43,24.18,16.639999,16.639999,16.639999
487247,2014-02-03,ABBV,49.400002,47.349998,47.060001,49.490002000000004,10314600.0,1.11,42.65765585585585,-7.555648036789393,-2.5118427012559152,5.128767648117943,30.62068413793105,50.73757615151514,47.48608697101447,46.27870190865384,54.73,58.27,70.760002,45.5,45.5,45.5
487249,2014-02-03,ABT,36.580002,35.849998,35.799999,36.950001,12231900.0,1.5,23.899998666666665,-8.708943213649107,-5.408981244908645,-0.1392869003182824,4.184824179017738,38.06181793939395,36.38942013768114,36.41110565384615,40.490002000000004,43.27,46.5,35.799999,35.799999,35.799999
487287,2014-02-03,ATVI,17.35,17.059998999999998,16.91,17.35,7001900.0,1.14,14.964911403508772,-6.775956654423879,0.4120011771630203,-0.6984924330617162,27.218486204325117,17.50212115151515,17.131304333333322,16.305192298076925,21.5,23.43,24.18,16.639999,16.639999,16.639999
487737,2014-02-04,ABBV,47.18,47.950001,46.950001,47.970001,9606100.0,1.11,43.19819909909909,-5.795679536515536,-1.276506073708049,6.460923479997248,33.75175362631819,50.65558864705881,47.512391326086934,46.304663456730765,54.73,58.27,70.760002,45.5,45.5,45.5
487739,2014-02-04,ABT,35.900002,36.25,35.849998,36.439999,8237400.0,1.5,24.166666666666668,-8.390194591862524,-4.353567052582221,0.9749247367729907,5.808529235757703,38.008529176470596,36.393405637681155,36.40913449999999,40.490002000000004,43.27,46.5,35.849998,35.849998,35.849998
487777,2014-02-04,ATVI,17.059998999999998,16.9,16.799999,17.139999,5463700.0,1.14,14.824561403508772,-7.040704070407045,-0.5297233666862837,-1.6298020954598371,24.539425202652893,17.48441170588235,17.140869550724627,16.315913451923084,21.5,23.43,24.18,16.639999,16.639999,16.639999
488227,2014-02-05,ABBV,47.759997999999996,47.73,47.16,48.07,6987100.0,1.11,42.99999999999999,-4.214332562137983,-1.7294626312538668,5.972466563666373,33.13808274131563,50.48970632352941,47.53565219565215,46.32442307692307,54.73,58.27,70.760002,45.5,45.5,45.5
488229,2014-02-05,ABT,36.119999,36.349998,35.98,36.599998,7597300.0,1.5,24.233332,-7.057026155535013,-4.089720100806332,1.2534706822578983,6.100408995937485,38.00323502941177,36.39688389130434,36.40552873076923,40.490002000000004,43.27,46.5,35.98,35.98,35.98
488267,2014-02-05,ATVI,16.879998999999998,16.889999,16.639999,16.969998999999998,5566000.0,1.14,14.81578859649123,-5.484062367987576,-0.5885874043555077,-1.688015133876604,24.4657258658806,17.488823441176468,17.150724615942014,16.325576908653854,21.5,23.790001,24.18,16.639999,16.639999,16.639999
488717,2014-02-06,ABBV,47.889998999999996,47.93,47.450001,48.18,4957800.0,1.11,43.18018018018017,-3.8129679384720845,0.9477674810446644,6.67705319385712,33.69596282822667,50.32205923529412,47.5384892302158,46.34716345673076,54.73,58.27,70.760002,45.5,45.5,45.5
488719,2014-02-06,ABT,36.41,36.650002,36.380001,36.93,9982300.0,1.5,24.433334666666667,-6.289948701356479,-2.18841467338099,1.9755231490128864,6.976077465036639,38.00441152941177,36.398704884892084,36.40254797115384,40.490002000000004,43.27,46.5,36.380001,36.380001,36.380001
